"세대구성 및 가구원수별 가구(일반가구) - 시군구"

"C행정구역별(시군구)","행정구역별(시군구)","C세대구성별","세대구성별","시점","일반가구 (가구)","가구원수 1명 (가구)","가구원수 2명 (가구)","가구원수 3명 (가구)","가구원수 4명 (가구)","가구원수 5명 (가구)","가구원수 6명 (가구)","가구원수 7명 이상 (가구)","평균 가구원수 (명)"
'00,"전국",'00,"계",2016,19367696.0000,5397615.0000,5067166.0000,4151701.0000,3551410.0000,924373.0000,211475.0000,63956.0000,2.50000
'00,"전국",'10,"1세대 가구",2016,3329335.0000,X,3233715.0000,90299.0000,4747.0000,480.0000,77.0000,17.0000,2.00000
'00,"전국",'101," 부부",2016,2994627.0000,X,2994627.0000,X,X,X,X,X,2.00000
'00,"전국",'102," 부부+미혼형제자매",2016,17969.0000,X,X,17612.0000,345.0000,12.0000,X,X,3.00000
'00,"전국",'103," 부부+기타친인척",2016,4128.0000,X,X,3698.0000,341.0000,64.0000,25.0000,X,3.10000
'00,"전국",'104," 가구주+미혼형제자매",2016,192838.0000,X,180085.0000,11997.0000,686.0000,63.0000,6.0000,X,2.10000
'00,"전국",'105," 가구주+기타친인척",2016,15210.0000,X,13657.0000,1113.0000,297.0000,113.0000,24.0000,6.0000,2.10000
'00,"전국",'106," 기타",2016,104563.0000,X,45346.0000,55879.0000,3078.0000,228.0000,22.0000,10.0000,2.60000
'00,"전국",'20,"2세대 가구",2016,9361705.0000,X,1597471.0000,3930669.0000,3201031.0000,565503.0000,56678.0000,10353.0000,3.30000
'00,"전국",'201," 부부+미혼자녀",2016,6189464.0000,X,X,2827237.0000,2882860.0000,443933.0000,31356.0000,4078.0000,3.60000
'00,"전국",'202," 부+미혼자녀",2016,517354.0000,X,333532.0000,161507.0000,20580.0000,1509.0000,174.0000,52.0000,2.40000
'00,"전국",'203," 모+미혼자녀",2016,1481683.0000,X,940944.0000,473051.0000,62449.0000,4615.0000,522.0000,102.0000,2.40000
'00,"전국",'204," 부부+양친",2016,20801.0000,X,X,X,20801.0000,X,X,X,4.00000
'00,"전국",'205," 부부+한부모",2016,124904.0000,X,X,124904.0000,X,X,X,X,3.00000
'00,"전국",'206," 부부+미혼자녀+부부미혼형제자매",2016,73850.0000,X,X,X,31017.0000,35526.0000,6563.0000,744.0000,4.70000
